Date,FNGU Price,FNGD Price,FNGD MA Buy,FNGD MA Sell,FNGU MA Buy,FNGU MA Sell,FNGD BB Buy,FNGD BB Sell,FNGU BB Buy,FNGU BB Sell
2020-01-02,65.21,2012.0,,,,,0,0,0,0
2020-01-03,63.32,2072.0,,,,,0,0,0,0
2020-01-06,65.88,1984.0,,,,,0,0,0,0
2020-01-07,67.28,1932.0,,,,,0,0,0,0
2020-01-08,69.9,1864.0,,,,,0,0,0,0
2020-01-09,71.56,1826.0,,,,,0,0,0,0
2020-01-10,71.47,1828.0,,,,,0,0,0,0
2020-01-13,76.36,1700.0,,,,,0,0,0,0
2020-01-14,74.8,1730.0,,,,,0,0,0,0
2020-01-15,73.97,1756.0,,,,,0,0,0,0
2020-01-16,75.07,1728.0,,,,,0,0,0,0
2020-01-17,75.89,1704.0,,,,,0,0,0,0
2020-01-21,76.74,1684.0,,,,,0,0,0,0
2020-01-22,76.96,1680.0,,,,,0,0,0,0
2020-01-23,78.21,1653.0,,,,,0,0,0,0
2020-01-24,75.32,1718.0,,,,,0,0,0,0
2020-01-27,69.77,1844.0,,,,,0,0,0,0
2020-01-28,73.69,1736.0,,,,,0,0,0,0
2020-01-29,75.09,1700.0,,,,,0,0,0,0
2020-01-30,76.52,1672.0,,,1.0,,0,0,0,0
2020-01-31,74.43,1702.0,,,,,0,0,0,0
2020-02-03,85.17,1474.0,,,,,1,0,0,1
2020-02-04,95.1,1296.0,,,,,1,0,0,1
2020-02-05,86.22,1417.0,,,,,0,0,0,0
2020-02-06,92.07,1314.0,,,,,1,0,0,1
2020-02-07,90.05,1350.0,,,,,0,0,0,0
2020-02-10,93.03,1301.0,,,,,0,0,0,0
2020-02-11,94.14,1290.0,,,,,0,0,0,0
2020-02-12,98.15,1230.0,,,,,0,0,0,0
2020-02-13,99.7,1215.0,,,,,0,0,0,0
2020-02-14,100.79,1200.0,,,,,0,0,0,0
2020-02-18,106.93,1125.0,,,,,0,0,0,0
2020-02-19,114.1,1046.0,,,,,0,0,0,1
2020-02-20,110.17,1082.0,,,,,0,0,0,0
2020-02-21,103.55,1148.0,,,,,0,0,0,0
2020-02-24,87.8,1322.0,,,,1.0,0,0,0,0
2020-02-25,81.0,1432.0,1.0,,,,0,0,0,0
2020-02-26,82.0,1408.0,,,,,0,0,0,0
2020-02-27,68.26,1650.0,,,,,0,0,0,0
2020-02-28,70.0,1600.0,,,,,0,0,0,0
2020-03-02,80.15,1374.8,,,,,0,0,0,0
2020-03-03,73.85,1456.0,,,,,0,0,0,0
2020-03-04,80.57,1328.0,,,,,0,0,0,0
2020-03-05,73.8,1442.0,,,,,0,0,0,0
2020-03-06,68.17,1561.4,,,,,0,0,0,0
2020-03-09,53.75,1884.0,,,,,0,1,1,0
2020-03-10,62.71,1632.0,,,,,0,0,0,0
2020-03-11,54.8,1750.0,,,,,0,0,0,0
2020-03-12,38.78,2292.0,,,,,0,1,1,0
2020-03-13,43.96,1892.0,,,,,0,0,0,0
2020-03-16,32.01,2620.0,,,,,0,1,0,0
2020-03-17,30.0,2310.0,,,,,0,0,0,0
2020-03-18,26.5,2700.0,,,,,0,1,0,0
2020-03-19,30.26,2240.0,,,,,0,0,0,0
2020-03-20,28.5,2354.0,,,,,0,0,0,0
2020-03-23,30.1,2202.0,,,,,0,0,0,0
2020-03-24,36.6,1710.0,,1.0,,,0,0,0,0
2020-03-25,36.26,1752.0,,,,,0,0,0,0
2020-03-26,39.5,1626.0,,,,,0,0,0,0
2020-03-27,36.39,1660.0,,,,,0,0,0,0
2020-03-30,38.86,1584.0,,,,,0,0,0,0
2020-03-31,39.81,1562.8,,,,,0,0,0,0
2020-04-01,34.01,1770.0,,,,,0,0,0,0
2020-04-02,34.07,1754.0,,,,,0,0,0,0
2020-04-03,33.45,1800.0,,,,,0,0,0,0
2020-04-06,40.17,1434.0,,,1.0,,0,0,0,0
2020-04-07,40.85,1408.0,,,,,0,0,0,0
2020-04-08,42.61,1348.0,,,,,0,0,0,0
2020-04-09,43.55,1312.0,,,,,0,0,0,0
2020-04-13,48.54,1172.0,,,,,0,0,0,1
2020-04-14,55.56,1002.0,,,,,0,0,0,1
2020-04-15,56.81,981.0,,,,,0,0,0,1
2020-04-16,59.84,927.4,,,,,0,0,0,1
2020-04-17,58.79,936.0,,,,,0,0,0,0
2020-04-20,59.03,934.0,,,,,0,0,0,0
2020-04-21,52.27,1018.0,,,,,0,0,0,0
2020-04-22,57.72,918.0,,,,,0,0,0,0
2020-04-23,56.97,950.0,,,,,0,0,0,0
2020-04-24,59.18,906.0,,,,,0,0,0,0
2020-04-27,61.66,872.0,,,,,0,0,0,0
2020-04-28,56.45,948.0,,,,,0,0,0,0
2020-04-29,63.6,824.0,,,,,0,0,0,0
2020-04-30,63.64,824.0,,,,,0,0,0,0
2020-05-01,56.35,914.0,,,,,0,0,0,0
2020-05-04,59.48,868.0,,,,,0,0,0,0
2020-05-05,60.5,840.0,,,,,0,0,0,0
2020-05-06,61.98,829.0,,,,,0,0,0,0
2020-05-07,64.51,810.0,,,,,0,0,0,0
2020-05-08,68.29,747.0,,,,,0,0,0,1
2020-05-11,70.1,726.0,,,,,1,0,0,1
2020-05-12,66.33,768.0,,,,,0,0,0,0
2020-05-13,63.8,794.0,,,,,0,0,0,0
2020-05-14,65.99,768.0,,,,,0,0,0,0
2020-05-15,69.48,724.0,,,,,0,0,0,0
2020-05-18,74.68,678.0,,,,,0,0,0,1
2020-05-19,75.45,666.0,,,,,0,0,0,1
2020-05-20,80.5,618.0,,,,,0,0,0,1
2020-05-21,79.3,628.0,,,,,0,0,0,0
2020-05-22,77.2,642.0,,,,,0,0,0,0
2020-05-26,77.78,642.0,,,,,0,0,0,0
2020-05-27,75.85,650.0,,,,,0,0,0,0
2020-05-28,73.17,682.0,,,,,0,0,0,0
2020-05-29,75.86,650.0,,,,,0,0,0,0
2020-06-01,80.03,618.0,,,,,0,0,0,0
2020-06-02,81.11,612.0,,,,,0,0,0,0
2020-06-03,84.41,586.0,,,,,0,0,0,0
2020-06-04,80.33,616.0,,,,,0,0,0,0
2020-06-05,85.5,570.0,,,,,0,0,0,0
2020-06-08,89.8,542.0,,,,,0,0,0,0
2020-06-09,93.18,524.0,,,,,0,0,0,1
2020-06-10,98.17,494.0,,,,,0,0,0,1
2020-06-11,84.09,566.0,,,,,0,0,0,0
2020-06-12,85.76,560.0,,,,,0,0,0,0
2020-06-15,89.94,527.0,,,,,0,0,0,0
2020-06-16,94.41,500.0,,,,,0,0,0,0
2020-06-17,96.22,492.0,,,,,0,0,0,0
2020-06-18,96.36,490.0,,,,,0,0,0,0
2020-06-19,95.5,494.0,,,,,0,0,0,0
2020-06-22,99.4,478.0,,,,,0,0,0,0
2020-06-23,101.55,468.0,,,,,0,0,0,0
2020-06-24,95.25,494.0,,,,,0,0,0,0
2020-06-25,97.5,481.0,,,,,0,0,0,0
2020-06-26,85.88,544.0,1.0,,,1.0,0,0,0,0
2020-06-29,88.98,524.0,,1.0,,,0,0,0,0
2020-06-30,93.92,490.0,,,1.0,,0,0,0,0
2020-07-01,100.95,450.0,,,,,0,0,0,0
2020-07-02,105.73,432.0,,,,,0,0,0,0
2020-07-06,122.65,362.0,,,,,1,0,0,1
2020-07-07,121.37,365.0,,,,,1,0,0,1
2020-07-08,131.0,334.0,,,,,1,0,0,1
2020-07-09,137.25,322.0,,,,,1,0,0,1
2020-07-10,145.82,298.0,,,,,1,0,0,1
2020-07-13,132.97,324.0,,,,,0,0,0,0
2020-07-14,134.82,320.0,,,,,0,0,0,0
2020-07-15,135.78,320.0,,,,,0,0,0,0
2020-07-16,131.49,326.0,,,,,0,0,0,0
2020-07-17,129.66,330.0,,,,,0,0,0,0
2020-07-20,144.98,293.8,,,,,0,0,0,0
2020-07-21,139.0,306.4,,,,,0,0,0,0
2020-07-22,138.17,308.6,,,,,0,0,0,0
2020-07-23,128.45,330.2,,,,,0,0,0,0
2020-07-24,123.82,340.0,,,,,0,0,0,0
2020-07-27,130.47,321.0,,,,,0,0,0,0
2020-07-28,124.5,339.4,,,,1.0,0,0,0,0
2020-07-29,129.17,323.6,,,,,0,0,0,0
2020-07-30,130.0,322.0,,,,,0,0,0,0
2020-07-31,135.0,309.6,,,1.0,,0,0,0,0
2020-08-03,140.18,296.8,,,,,0,0,0,0
2020-08-04,144.45,288.0,,,,,0,0,0,0
2020-08-05,146.42,284.4,,,,,0,0,0,0
2020-08-06,153.12,270.6,,,,,1,0,0,1
2020-08-07,145.04,283.8,,,,,0,0,0,0
2020-08-10,141.7,292.0,,,,,0,0,0,0
2020-08-11,134.5,308.0,,,,1.0,0,0,0,0
2020-08-12,148.2,273.4,,,1.0,,0,0,0,0
2020-08-13,152.2,265.4,,,,,0,0,0,0
2020-08-14,151.25,265.6,,,,,0,0,0,0
2020-08-17,165.5,242.0,,,,,1,0,0,1
2020-08-18,171.8,233.4,,,,,1,0,0,1
2020-08-19,170.6,235.0,,,,,0,0,0,0
2020-08-20,180.26,221.4,,,,,0,0,0,1
2020-08-21,188.38,211.5,,,,,0,0,0,1
2020-08-24,192.5,206.2,,,,,0,0,0,1
2020-08-25,198.99,199.7,,,,,0,0,0,1
2020-08-26,221.4,176.8,,,,,1,0,0,1
2020-08-27,215.0,181.4,,,,,0,0,0,0
2020-08-28,219.94,177.2,,,,,0,0,0,0
2020-08-31,234.21,165.0,,,,,0,0,0,0
2020-09-01,244.65,159.0,,,,,0,0,0,0
2020-09-02,244.99,158.8,,,,,0,0,0,0
2020-09-03,201.08,187.2,,,,,0,0,0,0
2020-09-04,194.5,192.6,,,,,0,0,0,0
2020-09-08,152.21,234.6,1.0,,,1.0,0,0,0,0
2020-09-09,169.0,208.0,,1.0,,,0,0,0,0
2020-09-10,160.67,218.4,1.0,,,,0,0,0,0
2020-09-11,159.75,220.4,,,,,0,0,0,0
2020-09-14,172.48,202.8,,,,,0,0,0,0
2020-09-15,186.0,187.2,,1.0,,,0,0,0,0
2020-09-16,176.76,196.2,,,,,0,0,0,0
2020-09-17,165.99,208.2,1.0,,,,0,0,0,0
2020-09-18,165.49,209.2,,,,,0,0,0,0
2020-09-21,168.65,204.2,,,,,0,0,0,0
2020-09-22,176.78,195.2,,,,,0,0,0,0
2020-09-23,162.0,211.2,,,,,0,0,0,0
2020-09-24,161.54,211.6,,,,,0,0,0,0
2020-09-25,172.85,196.4,,1.0,,,0,0,0,0
2020-09-28,182.48,186.0,,,,,0,0,0,0
2020-09-29,183.3,185.0,,,1.0,,0,0,0,0
2020-09-30,192.07,176.4,,,,,0,0,0,0
2020-10-01,202.64,166.0,,,,,1,0,0,0
2020-10-02,185.58,179.8,,,,,0,0,0,0
2020-10-05,197.31,168.0,,,,,0,0,0,0
2020-10-06,187.01,177.0,,,,,0,0,0,0
2020-10-07,197.24,167.2,,,,,0,0,0,0
